year,method,est,se
2008,Naive,7.135502935420735,3.222304227542787
2008,Fixed Effects,1.7287711342124135,2.9538946362435947
2012,Naive,7.73705408840559,2.976137114266771
2012,Fixed Effects,2.080140858490416,2.787215813777222
2016,Naive,10.280194510798022,3.1298108462237297
2016,Fixed Effects,4.761314961145074,3.070138280517436
2020,Naive,3.4811723100686884,2.9671320346791803
2020,Fixed Effects,-0.3365727176930894,2.665255658449368
2008,IPW,0.980460205283526,3.4643690941616367
2012,IPW,2.056037765293382,3.3383025174111896
2016,IPW,4.761048288575827,3.3963483679295843
2020,IPW,-1.7994262969415393,2.7684996862112508
